title,author,link
How to Win Friends and Influence People,Dale Carnegie,
The Kite Runner,Khaled Hosseini,
The Alchemist,Paulo Coelho,
The Secret Letters,Robin Sharma,
A Brief History of Time,Stephen Hawking,
Design of the 20th Century,"Peter Fiell, Charlotte Fiell",
Structures Or Why Things Don't Fall Down,J.E. Gordon,
"Shapes, Space, and Symmetry",Alan Holden,
Product Design and Development,Karl Ulrich,
Enchanted Objects,David Rose,
Make It New,Barry M. Katz,
Total Recall,Arnold Schwarzenegger,
Steve Jobs,Walter Isaacson,
Damn Good Advice,George Lois,
The Fourth Industrial Revolution,Klaus Schwab,
How Google Works,Eric Schmidt,
The Lean Startup,Eric Ries,
The Tech Entrepreneur's Survival Guide,Bernd Schoner,
BOLD,"Peter H. Diamandis, Steven Kotler",
The Innovators,Walter Isaacson,